"Unique Response Number","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","8.1. Internet of Things - e.g. fitness devices, security systems","8.2. Cloud computing","8.3. 3D printing","8.4. Machine Learning","8.5. Tracking","8.6. Artificial Intelligence - recommender systems, virtual assistants, language translation, spam filtering etc","8.7. Virtual Reality (VR)/ Augmented Reality (AR)","8.8. Robots","8.9. Self-driving technology (SD)","8.10. Drones","8.11. Blockchain","Q9","Q10","Q11","Q12","Q13","13.1. Monitoring digital and physical security","13.2. Automating data pattern detection and interpretation","13.3. Automating physical tasks","13.4. Automating administrative processes","13.5. Automating marketing activities","13.6. Assisting with queries","13.7. Supporting recruitment and selection","13.8. Evaluating employee performance","13.9. Monitoring employees","Q14","Q15","15.1. Sate government","15.2. Defence force","15.3. Research organisations (e.g. CERN - European organisation for nuclear research)","15.4. Tech companies - e.g. Google, Facebook, Apple, Microsoft","15.5. Commercial organisations","15.6. Non-government scientific organizations (e.g. AAAI = Association for the Advancement of AI)","15.7. Universities"
"887601-887583-97197436","65+","Male","University postgraduate","Professional - e.g. doctor, lawyer, engineer","South Africa","Basic","Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Online Banking,Google search",,"Slightly positive","Very negative","Neutral","Neutral","Very negative","Neutral","Neutral","Slightly positive","Very negative","Slightly positive","Slightly negative","I am suspicious of AI","Somewhat unwilling","Benefits are slightly greater then risks","No",,"Low comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","High comfort","Low comfort","Moderately comfortably","Low comfort","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"No confidence","Not much confidence","Neutral","Not much confidence","Neutral","Neutral","A little confidence"
"887601-887583-97199404","18 - 34","Female","University undergraduate","Executive or official in a business or the government","United Kingdom of Great Britain and Northern Ireland","Basic","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Slack,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly negative","Slightly positive","Slightly negative","Neutral","I accept AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"No confidence","Not much confidence","A little confidence","Not much confidence","Not much confidence","A little confidence","A little confidence"
"887601-887583-97199527","35 - 44","Female","University postgraduate","Other","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search",,"Slightly positive","Slightly positive","Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","I accept AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","High comfort","High comfort","Criminal justice bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-97199755","55 - 65","Male","Secondary","Executive or official in a business or the government","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Neutral","Slightly negative","Slightly positive","Slightly positive","Neutral","Slightly positive","Very negative","Slightly positive","Slightly positive","Slightly positive","Neutral","I approve of AI","Neutral","Benefits are much greater than risks","Yes",,"Moderately comfortably","Low comfort","High comfort","High comfort","Low comfort","Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Cyber-attacks,Surveillance,Autonomous weapons",,"No confidence","Neutral","A little confidence","No confidence","Not much confidence","Neutral","Neutral"
"887601-887583-97199987","65+","Female","University postgraduate","Other","South Africa","None","Social media - e.g. Facebook, Instagram,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Neutral","Slightly positive","Neutral","Slightly negative","Neutral","Slightly negative","Slightly positive","Slightly negative","Slightly negative","Slightly negative","I tolerate AI","Neutral","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"No confidence","Neutral","No confidence","No confidence","No confidence","Neutral","Neutral"
"887601-887583-97200299","18 - 34","Female","University undergraduate","Education","South Africa","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Neutral","Neutral","Neutral","Neutral","I accept AI","Somewhat willing","Risks are slightly greater than benefits","Yes",,"Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Low comfort","Moderately comfortably","Low comfort","Low comfort","Moderately comfortably","Hiring bias,Criminal justice bias,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"No confidence","No confidence","Neutral","A lot of confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-97201388","55 - 65","Male","University postgraduate","IT","South Africa","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps,Autonomous vehicles",,"Very positive","Very positive","Very positive","Very positive","Very positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","Very positive","I embrace AI","Somewhat willing",,"Yes",,"High comfort","High comfort","Moderately comfortably","High comfort","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Hiring bias,Data privacy,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"A little confidence","A little confidence","A lot of confidence","A little confidence","A little confidence","A lot of confidence","A lot of confidence"
"887601-887583-97203729","45 - 54","Male","Tertiary - non university","Other","New Zealand","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly negative","Slightly positive","Slightly positive","Slightly positive","Very negative","Neutral","Slightly negative","Slightly positive","Slightly positive","Slightly negative","Very negative","I tolerate AI","Somewhat unwilling","Risks are much greater than benefits","Yes",,"Low comfort","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment",,"No confidence","Not much confidence","No confidence","No confidence","No confidence","No confidence","No confidence"
"887601-887583-97204113","18 - 34","Male","University postgraduate","Clerical, sales or other office worker","France","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Slack,Music and video streaming,Online Banking,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Slightly positive","Slightly negative","Slightly positive","Slightly positive","Very positive","Slightly positive","Slightly positive","Very positive","I approve of AI","Neutral","Benefits are slightly greater then risks","No",,"High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),AI system failure",,"Not much confidence","Not much confidence","A little confidence","Not much confidence","Not much confidence","No confidence","Neutral"
"887601-887583-97214269","35 - 44","Male","University undergraduate","IT","Lebanon","Advanced","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","I approve of AI","Somewhat willing","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Criminal justice bias,Disease diagnosis,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"Neutral","Neutral","Neutral","Neutral","A little confidence","A little confidence","A little confidence"
"887601-887583-97216652","35 - 44","Female","University undergraduate","Self-employed","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Slightly positive",,"Slightly negative","Slightly positive","Slightly positive","Slightly positive","Neutral","Slightly positive","Neutral","I accept AI",,"Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,All of the above",,"Not much confidence","Not much confidence","Not much confidence","Not much confidence","Not much confidence","Not much confidence","Not much confidence"
"887601-887583-97225639","55 - 65","Female","Tertiary - non university","Executive or official in a business or the government","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Very positive","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","I accept AI","Somewhat willing","Benefits and risks are about equal","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment",,"Not much confidence","Not much confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-97238301","45 - 54","Female","Tertiary - non university","Clerical, sales or other office worker","South Africa","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Very positive","Slightly positive","Very positive","Slightly positive","Very positive","Slightly positive","Neutral","Slightly positive","Slightly positive","Neutral","Neutral","I accept AI","Somewhat unwilling","Benefits and risks are about equal","Not sure",,"Low comfort","Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","All of the above",,"No confidence","Not much confidence","A little confidence","Not much confidence","Not much confidence","Neutral","Not much confidence"
"887601-887583-97269684","45 - 54","Female","Tertiary - non university","Executive or official in a business or the government","South Africa","Basic","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Neutral","Very positive","Slightly positive","Slightly positive","Very positive","Very positive","Very positive","Slightly positive","Slightly positive","Neutral","I approve of AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","High comfort","Low comfort","Low comfort","Hiring bias,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Autonomous weapons,AI system failure",,"No confidence","Not much confidence","Neutral","A little confidence","A little confidence","A lot of confidence","A lot of confidence"
"887601-887583-97276198","55 - 65","Female","University postgraduate","Other","South Africa",,,,,,,,,,,,,,,,"Somewhat willing","Benefits are much greater than risks","No",,"High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Low comfort","High comfort","Hiring bias,Autonomous weapons,AI system failure",,"Not much confidence","Not much confidence","A lot of confidence","Neutral","Neutral","A lot of confidence","A lot of confidence"
"887601-887583-97279016","45 - 54","Male","University postgraduate","Unemployed","United Kingdom of Great Britain and Northern Ireland","Basic","Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Slack,Music and video streaming,Online Banking,Anti-virus software,Google search",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","I tolerate AI","Somewhat unwilling","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","All of the above",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"887601-887583-97340866","18 - 34","Male","University undergraduate","Service industry","France","Advanced","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Slightly positive","Very positive","Neutral","Slightly positive","Very positive","Very positive","Very positive","Slightly positive","Very positive","Neutral","I embrace AI","Somewhat willing","Benefits and risks are about equal","Yes",,"High comfort","Moderately comfortably","High comfort","High comfort","Moderately comfortably","Low comfort","Moderately comfortably","Moderately comfortably","Low comfort","Hiring bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Technological unemployment,AI system failure",,"Neutral","A little confidence","A little confidence","A little confidence","Neutral","A lot of confidence","A little confidence"
"887601-887583-97342731","18 - 34","Female","University undergraduate","Unemployed,Student","France","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Neutral","Very negative","Neutral","Very positive","Neutral","Very negative","Slightly negative","Slightly negative","Neutral","I am suspicious of AI","Neutral","Benefits and risks are about equal","Yes",,"High comfort","Moderately comfortably","Low comfort","High comfort","High comfort","Moderately comfortably","High comfort","High comfort","Moderately comfortably","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure,All of the above",,"No confidence","Neutral","A little confidence","Neutral","No confidence","A little confidence","A lot of confidence"
"887601-887583-97499994","18 - 34","Male","Tertiary - non university","IT","South Africa","Advanced","Rideshare apps - e.g. Uber,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search",,"Slightly positive","Very positive","Very positive","Slightly positive","Very negative","Slightly negative","Neutral","Slightly positive","Slightly positive","Very negative","Neutral","I accept AI","Neutral","Risks are slightly greater than benefits","Yes",,"Low comfort","Low comfort","Moderately comfortably","High comfort","Moderately comfortably","High comfort","High comfort","High comfort","Moderately comfortably","Hiring bias,Criminal justice bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"Neutral","Not much confidence","Neutral","No confidence","No confidence","Not much confidence","No confidence"
"887601-887583-97545349","45 - 54","Male","University postgraduate","Other","South Africa","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","Slightly negative","Slightly negative","I approve of AI","Somewhat unwilling","Benefits are slightly greater then risks","Yes",,"High comfort","Moderately comfortably","Moderately comfortably","High comfort","High comfort","High comfort","Moderately comfortably","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"Not much confidence","No confidence","Neutral","A little confidence","Neutral","A little confidence","A little confidence"
"887601-887583-97829769","18 - 34","Female","University postgraduate","Student","United States of America","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly negative","Neutral","Slightly negative","Neutral","Slightly positive","Slightly negative","Slightly negative","Neutral","Neutral","Slightly positive","Slightly positive","I accept AI","Somewhat willing","Benefits and risks are about equal","Not sure",,"High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Moderately comfortably","Low comfort","Low comfort","Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"887601-887583-97995085","55 - 65","Female","University postgraduate","Self-employed","South Africa","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Smartphone apps",,"Slightly positive",,"Neutral",,,"Slightly positive",,,,"Very positive",,"I accept AI","Neutral",,"Yes",,"Moderately comfortably","Low comfort","Low comfort",,"Low comfort","High comfort",,,,"All of the above",,"No confidence","No confidence","A little confidence","Not much confidence","Not much confidence","A little confidence","A little confidence"
"887601-887583-98093370","65+","Female","Secondary","Other","South Africa","Basic","Smartphone apps",,"Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly negative","Slightly positive","Slightly positive","Neutral","Neutral","Slightly negative","Neutral","I tolerate AI","Somewhat willing","Benefits are slightly greater then risks","No",,"Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","All of the above",,"No confidence","No confidence","A little confidence","Not much confidence","Not much confidence","A little confidence","A little confidence"
"887601-887583-98093745","45 - 54","Female","Tertiary - non university","Clerical, sales or other office worker","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Slightly positive","Slightly positive","Very positive","Neutral","Neutral","Neutral","Neutral","Neutral","I approve of AI","Somewhat willing","Benefits are slightly greater then risks","Not sure",,"Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","All of the above",,"No confidence","No confidence","Not much confidence","Not much confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-98093889","18 - 34","Male","University undergraduate","Service industry","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","I accept AI","Somewhat willing","Benefits are slightly greater then risks","Not sure",,"Low comfort","High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Low comfort","Moderately comfortably","Hiring bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Technological unemployment,AI system failure",,"No confidence","No confidence","Neutral","Not much confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-98094032","35 - 44","Male","University undergraduate","Education","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Slightly positive",,"Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","I approve of AI","Somewhat willing","Benefits and risks are about equal","Yes",,"Low comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","All of the above",,"No confidence","No confidence","A little confidence","Not much confidence","Not much confidence","A little confidence","A little confidence"
