"Unique Response Number","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","8.1. Internet of Things - e.g. fitness devices, security systems","8.2. Cloud computing","8.3. 3D printing","8.4. Machine Learning","8.5. Tracking","8.6. Artificial Intelligence - recommender systems, virtual assistants, language translation, spam filtering etc","8.7. Virtual Reality (VR)/ Augmented Reality (AR)","8.8. Robots","8.9. Self-driving technology (SD)","8.10. Drones","8.11. Blockchain","Q9","Q10","Q11","Q12","Q13","13.1. Monitoring digital and physical security","13.2. Automating data pattern detection and interpretation","13.3. Automating physical tasks","13.4. Automating administrative processes","13.5. Automating marketing activities","13.6. Assisting with queries","13.7. Supporting recruitment and selection","13.8. Evaluating employee performance","13.9. Monitoring employees","Q14","Q15","15.1. Sate government","15.2. Defence force","15.3. Research organisations (e.g. CERN - European organisation for nuclear research)","15.4. Tech companies - e.g. Google, Facebook, Apple, Microsoft","15.5. Commercial organisations","15.6. Non-government scientific organizations (e.g. AAAI = Association for the Advancement of AI)","15.7. Universities"
"887601-887583-98106480","18 - 34","Female","University undergraduate","Professional - e.g. doctor, lawyer, engineer","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Very positive","Very positive","Neutral","Very positive","Very positive","Very positive","Very positive","Neutral","Neutral","Neutral","Neutral","I accept AI","Neutral","Benefits and risks are about equal","Not sure",,"Moderately comfortably","Moderately comfortably","Low comfort",,"Moderately comfortably","Low comfort","Low comfort","Low comfort","Low comfort","All of the above",,"Not much confidence","Not much confidence","Not much confidence","A little confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-98106520","18 - 34","Female","Secondary","Student","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps,Autonomous vehicles,All of the above",,"Very positive","Very positive","Very positive","Slightly positive","Slightly negative","Slightly positive","Slightly positive","Very negative","Slightly negative","Neutral","Neutral","I am suspicious of AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Low comfort","Moderately comfortably","Low comfort","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"A little confidence","A little confidence","A little confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence"
"887601-887583-98106475","18 - 34","Female","University undergraduate","Student","United Kingdom of Great Britain and Northern Ireland","Basic","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Neutral","Slightly negative","Slightly positive","Very positive","Slightly negative","Slightly negative","Neutral","Neutral","I accept AI","Neutral","Benefits and risks are about equal","Not sure",,"High comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment",,"No confidence","Neutral","Neutral","No confidence","Not much confidence","A little confidence","Not much confidence"
"887601-887583-98117322","18 - 34","Female","University undergraduate","Student","Australia","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Slightly positive","Very positive","Slightly positive","Neutral","Very positive","Very positive","Very positive","Slightly positive","Slightly negative","Neutral","I embrace AI","Somewhat willing","Benefits are slightly greater then risks","Not sure",,"High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Autonomous weapons,Technological unemployment,AI system failure",,"Neutral","Neutral","Neutral","Neutral","A little confidence","A lot of confidence","A little confidence"
"887601-887583-98118935","18 - 34","Male","University undergraduate","IT,Student","South Africa","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Slightly positive","Very positive","Very positive","Very positive","Slightly positive","Slightly positive","Very negative","I embrace AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","High comfort","High comfort","High comfort","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","High comfort","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Autonomous weapons",,"Not much confidence","Neutral","A lot of confidence","Neutral","Neutral","A lot of confidence","A lot of confidence"
"887601-887583-98124503","18 - 34","Female","Tertiary - non university","Unemployed","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Neutral","Very negative","Neutral","Slightly negative","Slightly negative","Slightly positive","Slightly positive","Neutral","Slightly positive","Slightly negative","Slightly negative","I accept AI","Neutral","Benefits are slightly greater then risks","No",,"Moderately comfortably","Moderately comfortably","Low comfort","High comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"No confidence","No confidence","A little confidence","Neutral","Neutral","Neutral","A little confidence"
"887601-887583-98170766","35 - 44","Male","University undergraduate","Professional - e.g. doctor, lawyer, engineer","United Kingdom of Great Britain and Northern Ireland","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly positive","Very positive","Slightly positive","Very positive","Slightly negative","Slightly positive","Neutral","Neutral","Slightly positive","Neutral","Slightly positive","I approve of AI","Somewhat willing","Risks are slightly greater than benefits","Not sure",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Surveillance,Autonomous weapons,AI system failure",,"A little confidence","Not much confidence","A lot of confidence","A little confidence","Not much confidence","A little confidence","A little confidence"
"887601-887583-98179887","18 - 34","Female","University undergraduate","IT","United States of America","Intermediate","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Very positive","Neutral","Slightly negative","Neutral","Neutral","Slightly positive","Very negative","Very negative","Neutral","I tolerate AI","Somewhat unwilling","Risks are much greater than benefits","Yes",,"Low comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure,All of the above",,"Not much confidence","No confidence","A little confidence","Not much confidence","Not much confidence","Neutral","A little confidence"
"887601-887583-98207159","45 - 54","Male","University postgraduate","IT","Australia","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","I embrace AI","Completely willing","Benefits are slightly greater then risks","Yes",,"High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Technological unemployment",,"A little confidence","A little confidence","Neutral","Neutral","Neutral","Neutral","A lot of confidence"
"887601-887583-98218403","35 - 44","Male","University postgraduate","IT","Germany","Intermediate","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Google search,Smartphone apps,Autonomous vehicles",,"Slightly negative","Neutral","Slightly positive","Slightly positive","Slightly negative","Neutral","Slightly positive","Slightly positive","Neutral","Slightly negative","Neutral","I approve of AI","Somewhat unwilling","Benefits are slightly greater then risks","No",,"Low comfort","Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"Not much confidence","Not much confidence","A little confidence","Neutral","Neutral","A little confidence","A little confidence"
"887601-887583-98220386","18 - 34","Male","University undergraduate","Student","United Kingdom of Great Britain and Northern Ireland","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly positive","Slightly positive","Very positive","Slightly positive","Neutral","Slightly positive","Very positive","Very positive","Very positive","Very positive","Slightly positive","I approve of AI","Somewhat willing","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Low comfort","High comfort","Moderately comfortably","Moderately comfortably","High comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"No confidence","Not much confidence","A little confidence","No confidence","No confidence","A little confidence","A little confidence"
"887601-887583-98266143","35 - 44","Male","University undergraduate","Clerical, sales or other office worker","Singapore","Basic","Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Online Banking,Anti-virus software",,"Neutral","Neutral","Neutral","Neutral","Neutral","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Neutral","Neutral","I approve of AI","Neutral","Benefits are slightly greater then risks","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Hiring bias,Criminal justice bias,Data privacy,Cyber-attacks,Autonomous weapons,AI system failure",,"No confidence","Not much confidence","Neutral","Not much confidence","Neutral","A little confidence","A little confidence"
"887601-887583-98516083","18 - 34","Female","University postgraduate","Student","United Kingdom of Great Britain and Northern Ireland","Basic","Recommender systems - e.g. Movies (Netflix), Products (Amazon)",,"Slightly positive","Neutral","Neutral","Neutral","Slightly negative","Slightly positive","Slightly positive","Slightly positive","Slightly negative","Slightly positive","Neutral","I tolerate AI","Somewhat unwilling","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Digital manipulation - e.g. deepfakes (revenge porn, face swap),Autonomous weapons,AI system failure",,"Neutral","Neutral","A little confidence","Not much confidence","Not much confidence","Not much confidence","A little confidence"
"887601-887583-98554502","35 - 44","Male","University postgraduate","Education","Pakistan","Advanced","Rideshare apps - e.g. Uber",,"Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","I embrace AI","Completely willing","Benefits are slightly greater then risks","Yes",,"Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Data privacy,Cyber-attacks,Technological unemployment,AI system failure",,"A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence"
"887601-887583-98565910","18 - 34","Male","Tertiary - non university","Executive or official in a business or the government","Jersey","Intermediate","Social media - e.g. Facebook, Instagram",,"Very positive","Slightly positive","Very positive","Slightly positive","Neutral","Slightly positive","Very positive","Slightly positive","Neutral","Slightly positive","Slightly positive","I approve of AI","Somewhat willing","Benefits are much greater than risks","Not sure",,"Moderately comfortably","Low comfort","High comfort","High comfort","High comfort","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Autonomous weapons,AI system failure",,"Not much confidence","Not much confidence","A little confidence","Neutral","A little confidence","A lot of confidence","A lot of confidence"
"887601-887583-98566537","18 - 34","Female","Tertiary - non university","Clerical, sales or other office worker","Germany","None","Facial recognition - e.g. unlock phones, tag photos, 3D photos",,"Slightly positive","Neutral","Slightly positive","Neutral","Slightly negative","Slightly positive","Very positive","Slightly positive","Slightly positive","Very positive","Very positive","I approve of AI","Completely willing","Benefits are slightly greater then risks","Not sure",,"Moderately comfortably","High comfort","High comfort","High comfort","High comfort","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","Hiring bias,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Autonomous weapons",,"A little confidence","A little confidence","A lot of confidence","A little confidence","A little confidence","Neutral","A lot of confidence"
"887601-887583-98567719","18 - 34","Female","University undergraduate","Student","Iran (Islamic Republic of)","Basic","All of the above",,"Slightly positive","Very positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","Neutral","Slightly positive","Very positive","Very positive","I accept AI,I approve of AI,I embrace AI","Completely willing","Benefits are much greater than risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","High comfort","Low comfort","Criminal justice bias,Cyber-attacks,Autonomous weapons",,"A little confidence","A little confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence",
"887601-887583-98567734","18 - 34","Male","University undergraduate","Student","Germany","Intermediate","Music and video streaming",,"Slightly positive","Very positive","Slightly positive","Very positive","Very negative","Very positive","Neutral","Slightly positive","Slightly positive","Slightly negative","Slightly negative","I approve of AI","Somewhat willing","Benefits are slightly greater then risks","Not sure",,"Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Autonomous weapons,AI system failure",,"Not much confidence","Not much confidence","A lot of confidence","Neutral","Not much confidence","A little confidence","A little confidence"
"887601-887583-98568153","18 - 34","Female","University postgraduate","Education","Netherlands","Intermediate","Social media - e.g. Facebook, Instagram",,"Slightly positive","Slightly positive","Very positive","Very positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly negative","Slightly negative","Neutral","I accept AI","Somewhat willing","Benefits and risks are about equal","No",,"High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","All of the above",,"A little confidence","A little confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence","A lot of confidence"
"887601-887583-98570353","55 - 65","Female","University undergraduate","Executive or official in a business or the government","United Kingdom of Great Britain and Northern Ireland","Basic","Facial recognition - e.g. unlock phones, tag photos, 3D photos",,"Slightly positive","Slightly positive","Neutral","Neutral","Slightly negative","Slightly positive","Neutral","Slightly negative","Very negative","Neutral","Neutral","I tolerate AI","Somewhat unwilling","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure,All of the above",,"No confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A lot of confidence"
"887601-887583-98572782","18 - 34","Female","University undergraduate","Self-employed,Student","Germany","Basic","Social media - e.g. Facebook, Instagram",,"Slightly negative","Neutral","Slightly positive","Neutral","Slightly negative","Slightly positive","Slightly negative","Very negative","Slightly negative","Very negative","Slightly negative","I approve of AI","Neutral","Benefits are slightly greater then risks","No",,,,,,,,,,,"Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance",,"Not much confidence","Not much confidence","Not much confidence","No confidence","Neutral","No confidence","Not much confidence"
"887601-887583-98573064","18 - 34","Female","University postgraduate","Clerical, sales or other office worker","United Kingdom of Great Britain and Northern Ireland","Intermediate","Virtual assistants - e.g. Alexa, Siri",,"Neutral","Slightly positive","Very positive","Very positive","Very positive","Slightly positive","Very positive","Very positive","Very positive","Very positive","Neutral","I accept AI","Neutral","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","High comfort","Low comfort","Low comfort","Surveillance,AI system failure",,"A little confidence","A lot of confidence","A lot of confidence","A little confidence","Neutral","Neutral","Neutral"
"887601-887583-98574090","18 - 34","Female","University undergraduate","Student","United Kingdom of Great Britain and Northern Ireland","Basic","Smartphone apps",,"Slightly positive","Slightly negative","Very positive","Slightly positive","Neutral","Slightly positive","Slightly positive","Slightly negative","Slightly negative","Slightly negative","Neutral","I approve of AI","Somewhat willing","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Cyber-attacks",,"A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A lot of confidence"
"887601-887583-98580896","18 - 34","Female","University undergraduate","IT","Germany","Intermediate","Social media - e.g. Facebook, Instagram",,"Slightly positive","Neutral","Neutral","Very positive","Slightly positive","Slightly positive","Very positive","Slightly positive","Neutral","Neutral","Slightly positive","I approve of AI","Somewhat willing","Benefits and risks are about equal","Yes",,"High comfort","High comfort","Moderately comfortably","High comfort","High comfort","High comfort","Moderately comfortably","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Cyber-attacks,Surveillance,Autonomous weapons,AI system failure",,"Neutral","Not much confidence","Neutral","Not much confidence","Not much confidence","Not much confidence","Neutral"
"887601-887583-98654617","18 - 34","Male","University undergraduate","Student","France","Basic","Social media - e.g. Facebook, Instagram",,"Very positive","Slightly positive","Neutral","Neutral","Neutral","Slightly positive","Very positive","Very positive","Very positive","Very positive","Neutral","I approve of AI","Somewhat willing","Benefits and risks are about equal","No",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Technological unemployment,AI system failure",,"A little confidence","Neutral","A lot of confidence","Neutral","Not much confidence","Neutral","A little confidence"
"887601-887583-98662894","35 - 44","Female","University undergraduate","Student","Australia","Basic","Social media - e.g. Facebook, Instagram",,"Very positive","Slightly negative","Slightly negative","Neutral","Slightly negative","Slightly positive","Slightly positive","Slightly positive","Slightly negative","Slightly negative","Neutral","I accept AI","Somewhat unwilling","Benefits and risks are about equal","No",,"Moderately comfortably",,"High comfort","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Surveillance,Technological unemployment",,"Not much confidence","Not much confidence","No confidence","No confidence","Not much confidence","Not much confidence","A little confidence"
"887601-887583-98696871","18 - 34","Female","University postgraduate","IT","Poland","Intermediate","Social media - e.g. Facebook, Instagram",,"Slightly positive","Very positive","Very positive","Slightly positive","Neutral","Slightly positive","Slightly positive","Slightly negative","Slightly negative","Slightly negative","Slightly negative","I accept AI","Neutral","Risks are slightly greater than benefits","Yes",,"Low comfort","Low comfort","High comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance",,"Neutral","Not much confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-98713551","18 - 34","Female","University postgraduate","Service industry","United Kingdom of Great Britain and Northern Ireland","Basic","Online Banking",,"Slightly positive","Very positive","Neutral","Slightly negative","Neutral","Slightly positive","Slightly positive","Slightly negative","Slightly negative","Neutral","Neutral","I embrace AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons",,"Not much confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-98762815","18 - 34","Male","University undergraduate","Student","Australia","Basic","Social media - e.g. Facebook, Instagram",,"Neutral","Neutral","Very positive","Neutral","Slightly negative","Slightly positive","Very positive","Very positive","Very negative","Slightly negative","Very negative","I am suspicious of AI","Somewhat unwilling","Risks are slightly greater than benefits","Not sure",,"Low comfort","Moderately comfortably","Moderately comfortably","High comfort","Moderately comfortably","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Surveillance,Autonomous weapons",,"Neutral","Not much confidence","A little confidence","No confidence","No confidence","A little confidence","Neutral"
"887601-887583-98980003","35 - 44","Male","University postgraduate","IT","Egypt","Basic","Social media - e.g. Facebook, Instagram",,"Neutral","Very positive","Slightly positive","Neutral","Neutral","Slightly positive","Neutral","Slightly negative","Neutral","Very positive","Neutral","I am suspicious of AI","Somewhat unwilling","Benefits and risks are about equal","Yes",,"Low comfort","Moderately comfortably","High comfort","High comfort","High comfort","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure,All of the above",,"No confidence","No confidence","Not much confidence","Not much confidence","No confidence","Not much confidence","Neutral"
